,name,github_id,category,description,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,labels,trending,updated_github_id
91,faze4,PCrnjak/Faze4-Robotic-arm,open-source-robots,Small fully 3D printable open source 6 axis robotic arm for research and education.,https://github.com/PCrnjak/Faze4-Robotic-arm,https://github.com/PCrnjak/Faze4-Robotic-arm,CERN-OHL-S-2.0,2019-08-20 11:44:19,2025-12-28 18:54:32,2025-12-28 18:54:31,80.0,,145.0,56.0,4.0,,8.0,845.0,,,,,,,,2.0,9,False,3.0,['mit'],-2.0,
92,transact,transitiverobotics/transact,ros,An open-source robot fleet management dashboard.,https://github.com/transitiverobotics/transact,https://github.com/transitiverobotics/transact,Apache-2.0,2024-10-11 04:00:16,2025-10-15 00:39:32,2025-10-15 00:39:07,76.0,,23.0,5.0,27.0,3.0,12.0,125.0,2025-01-23 19:34:03,1.0.0,,,1.0,,,2.0,9,False,3.0,"['ros', 'apache']",,
93,openshc,csiro-robotics/syropod_highlevel_controller,libraries-frameworks,A versatile multilegged robot controller capable of generating body poses and gaits for quasi-static multilegged robots.,https://github.com/csiro-robotics/syropod_highlevel_controller,https://github.com/csiro-robotics/syropod_highlevel_controller,,2020-05-08 10:59:54,2021-06-17 03:27:01,2021-06-17 03:26:54,638.0,,36.0,8.0,10.0,6.0,1.0,175.0,,,,,,,,19.0,8,False,3.0,,,
94,pedro,almtzr/Pedro,open-source-robots,"A small, 3D-printed robotic manipulator with 3 Degrees of Freedom.",https://github.com/almtzr/Pedro,https://github.com/almtzr/Pedro,Apache-2.0,2024-01-08 13:40:54,2025-11-23 22:37:27,2025-11-23 22:37:18,579.0,,10.0,11.0,1.0,2.0,4.0,135.0,,,,,,,,2.0,8,False,3.0,['apache'],-5.0,
95,vector-ros,betab0t/vector_ros,ros,ROS package for Anki Vector home robot.,https://github.com/betab0t/vector_ros,https://github.com/betab0t/vector_ros,GPL-3.0,2019-01-13 16:59:40,2019-06-19 11:51:50,2019-06-19 11:51:49,76.0,,24.0,3.0,18.0,,,85.0,2019-02-20 12:56:22,1.0,,,1.0,,,,8,False,3.0,['ros'],,
96,makerspet-loki,makerspet/makerspet_loki,open-source-robots,A $100 open-source ROS2 home pet robot with 3D-printed design and micro-ROS on Arduino ESP32.,https://github.com/makerspet/makerspet_loki,https://github.com/makerspet/makerspet_loki,Apache-2.0,2023-09-07 22:51:44,2025-10-04 21:51:01,2025-01-05 09:38:07,170.0,,4.0,2.0,,,1.0,59.0,,,,,2.0,,,4.0,8,False,3.0,['apache'],,
97,urbanloco,weisongwen/UrbanLoco,datasets,Robotic car dataset providing sensor information as a ROS bag.,https://github.com/weisongwen/UrbanLoco,https://github.com/weisongwen/UrbanLoco,,2020-01-29 03:53:58,2025-11-27 12:27:25,2025-11-27 12:27:25,17.0,,42.0,8.0,1.0,22.0,17.0,475.0,,,,,,,,4.0,7,False,1.0,,,
98,cycloidal-generator,mawildoer/cycloidal_generator,manufacturing,A cycloidal reduction drive generator script for Autodesk Fusion360.,https://github.com/mawildoer/cycloidal_generator,https://github.com/mawildoer/cycloidal_generator,Unlicense,2018-10-28 05:22:02,2020-12-15 09:39:01,2020-12-15 09:39:00,14.0,,24.0,16.0,2.0,3.0,2.0,123.0,,,,,,,,3.0,7,False,3.0,,,
99,robot-runner,S2-group/robot-runner,ros,Robot Runner (RR) is a tool to automatically execute measurement-based experiments on robotics software.,https://github.com/S2-group/robot-runner,https://github.com/S2-group/robot-runner,MIT,2020-04-06 14:40:57,2024-07-18 13:17:48,2023-05-30 11:33:52,114.0,,5.0,2.0,9.0,15.0,1.0,29.0,,,,,,,,5.0,6,False,3.0,['mit'],,
100,jupyterlab-urdf,ihuicatl/jupyterlab-urdf,ros,An extension to display URDF in JupyterLab.,https://github.com/IsabelParedes/jupyterlab-urdf,https://github.com/IsabelParedes/jupyterlab-urdf,BSD-3-Clause,2023-07-18 11:53:33,2026-01-23 12:37:58,2026-01-23 12:12:23,263.0,,,,,,,2.0,,,,,,,,9.0,6,False,3.0,"['ros', 'python']",,IsabelParedes/jupyterlab-urdf
101,morph,roaldlemmens/morph,open-source-robots,An affordable modular differential drive platform for open robotics development for hackers.,https://github.com/roaldlemmens/morph,https://github.com/roaldlemmens/morph,GPL-3.0,2017-07-19 17:54:14,2019-03-29 14:07:47,2019-03-29 14:07:09,15.0,,7.0,7.0,,4.0,2.0,48.0,,,,,,,,,5,False,3.0,['gpl'],,
102,awesome-cloud-robotics,Airbotics/awesome-cloud-robotics,other,Awesome cloud robotics list.,https://github.com/Airbotics/awesome-cloud-robotics,https://github.com/Airbotics/awesome-cloud-robotics,,2023-04-05 11:20:42,2023-10-24 11:45:03,2023-04-06 15:55:27,1.0,,12.0,7.0,1.0,,,132.0,,,,,,,,,4,False,3.0,,,
103,openarm,,open-source-robots,"A bimanual manipulator setup with a BOM cost of around $6,500 and 7 DoF and 6kg payload per arm.",,,,,,,,,,,,,,,,,,,,,,,0,False,,,,
104,open-dynamic-robot-initiative,,open-source-robots,An Open Torque-Controlled Modular Robot Architecture for Legged Locomotion Research.,,,,,,,,,,,,,,,,,,,,,,,0,False,,,,
105,openmv,,actuators-sensors,"The OpenMV project creates low-cost, extensible, Python powered, machine vision modules - the Arduino of Machine Vision.",,,,,,,,,,,,,,,,,,,,,,,0,False,,,,
106,open-source-leg,,bionics,Open-source actuated leg prosthetics with a total cost of approx. $28.5k to produce.,,,,,,,,,,,,,,,,,,,,,,,0,False,,,,
107,soft-robotics-toolkit,,soft-robotics,"The Soft Robotics Toolkit is a collection of shared resources to support the design, fabrication, modeling,..",,,,,,,,,,,,,,,,,,,,,,,0,False,,,,
108,punyo,,soft-robotics,Soft Bubble Grippers for Robust and Perceptive Manipulation from Toyota Research Institute.,,,,,,,,,,,,,,,,,,,,,,,0,False,,,,
109,linuxcnc,,manufacturing,"Open Source software that can drive milling machines, lathes, 3d printers, laser cutters, plasma cutters, robot arms,..",,,,,,,,,,,,,,,,,,,,,,,0,False,,,,
110,freeloader,,manufacturing,"A low cost, desktop size, open source, universal testing machine, designed for inexpensive high-throughput material..",,,,,,,,,,,,,,,,,,,,,,,0,False,,,,
111,kitti-vision-benchmark,,datasets,"Vision benchmark captured in Karlsruhe, contains data from LiDAR, GPS and stereo cameras.",,,,,,,,,,,,,,,,,,,,,,,0,False,,,,
