,name,github_id,category,description,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,labels,trending
89,visual-servoing-platform,,libraries-frameworks,A cross-platform library that allows prototyping and developing applications using visual tracking and visual servoing..,,,,,,,,,,,,,,0,False,,,
90,point-cloud-library,,libraries-frameworks,"Standalone, large scale, open project for 2D/3D image and point cloud processing.",,,,,,,,,,,,,,0,False,,,
91,opencv,,libraries-frameworks,Open Source computer vision library.,,,,,,,,,,,,,,0,False,,,
92,robotics-library,roboticslibrary/rl,libraries-frameworks,"Self-contained C++ library for rigid body kinematics and dynamics, motion planning, and control.",,{},,,,,,,,,,,5.0,0,False,,['cpp'],
93,raisim,,libraries-frameworks,A physics for rigid-body dynamics simulation.,,,,,,,,,,,,,,0,False,,,
94,evo,,libraries-frameworks,A Python package for the evaluation of odometry and SLAM.,,,,,,,,,,,,,,0,False,,['python'],
95,mrpt,,libraries-frameworks,Mobile Robot Programming Toolkit provides developers with portable and well-tested applications and libraries covering..,,,,,,,,,,,,,,0,False,,,
96,moos,,libraries-frameworks,A C++ cross platform middleware for robotics research.,,,,,,,,,,,,,,0,False,,,
97,openshc,csiro-robotics/syropod_highlevel_controller,libraries-frameworks,A versatile multilegged robot controller capable of generating body poses and gaits for quasi-static multilegged robots.,,{},,,,,,,,,,,19.0,0,False,,,
98,segment-anything,facebookresearch/segment-anything,libraries-frameworks,The Segment Anything Model (SAM) produces high quality object masks from input prompts such as points or boxes.,,{},,,,,,,,,,,17.0,0,False,,['apache'],
99,gmapping,,libraries-frameworks,GMapping is a highly efficient Rao-Blackwellized particle filter to learn grid maps from laser range data.,,,,,,,,,,,,,,0,False,,,
100,tinyslam,,libraries-frameworks,"ROS implementation of tinySLAM, one of the simplest and lightweight SLAM methods.",,,,,,,,,,,,,,0,False,,,
101,xivo,ucla-vision/xivo,libraries-frameworks,A library for visual-inertial odometry and mapping.,,{},,,,,,,,,,,6.0,0,False,,['cpp'],
102,kimera,MIT-SPARK/Kimera,libraries-frameworks,C++ library for real-time metric-semantic simultaneous localization and mapping.,,{},,,,,,,,,,,3.0,0,False,,['cpp'],
103,lama,iris-ua/iris_lama,libraries-frameworks,A lightweight Localization and Mapping library that should run on Raspberry Pi 3B+.,,{},,,,,,,,,,,5.0,0,False,,['cpp'],
104,rtab-map,,libraries-frameworks,"RTAB-Map (Real-Time Appearance-Based Mapping) is a RGB-D, Stereo and Lidar Graph-Based SLAM approach.",,,,,,,,,,,,,,0,False,,,
105,basalt,,libraries-frameworks,Library for visual-inertial odometry and mapping.,,,,,,,,,,,,,,0,False,,,
106,lio-sam,TixiaoShan/LIO-SAM,libraries-frameworks,A real-time lidar-inertial odometry package with very promising results for multi-beam LiDARS.,,{},,,,,,,,,,,12.0,0,False,,['cpp'],
107,v-rep,,simulators,A robot simulator with integrated development environment based on a distributed control architecture.,,,,,,,,,,,,,,0,False,,,
108,argos,,simulators,ARGoS is a multi-physics robot simulator that can simulate large-scale swarms of robots efficiently.,,,,,,,,,,,,,,0,False,,,
109,gazebo,,simulators,Open Source simulator that plays nicely with ROS developed by OSRF. Supports 4 physics engines.,,,,,,,,,,,,,,0,False,,,
110,carla,,simulators,Open-source simulator for autonomous driving research.,,,,,,,,,,,,,,0,False,,,
111,openrave,,simulators,"OpenRAVE provides an environment for testing, developing, and deploying motion planning algorithms in real-world..",,,,,,,,,,,,,,0,False,,,
112,flightmare,uzh-rpg/flightmare,simulators,An Open Flexible Quadrotor Simulator.,,{},,,,,,,,,,,7.0,0,False,,['mit'],
113,mvsim,MRPT/mvsim,simulators,"Lightweight, dynamical simulator for 2D vehicles and robots.",,{},,,,,,,,,,,9.0,0,False,,['cpp'],
114,isaac-sim,isaac-sim/IsaacSim,simulators,"Proprietary simulator from NVIDIA with advanced physics, AI-based features, and GPU-accelerated capabilities.",,{},,,,,,,,,,,5.0,0,False,,,
115,moos-ivp,,middleware,"MOOS-IvP is a set of open source C++ modules for providing autonomy on robotic platforms, particularly autonomous..",,,,,,,,,,,,,,0,False,,,
116,viam,,middleware,"Viam is an open source software platform thats modular, pluggable, and designed to work with any hardware with..",,,,,,,,,,,,,,0,False,,,
117,towr,,ros,"A light-weight, Eigen-based C++ library for trajectory optimization for legged robots.",,,,,,,,,,,,,,0,False,,"['ros', 'cpp']",
118,rosshow,dheera/rosshow,ros,Visualize ROS topics inside a terminal with Unicode/ASCII art.,,{},,,,,,,,,,,11.0,0,False,,"['ros', 'python']",
119,vector-ros,betab0t/vector_ros,ros,ROS package for Anki Vector home robot.,,{},,,,,,,,,,,,0,False,,['ros'],
120,smacc,reelrbtx/SMACC,ros,"An event-driven, asynchronous, behavioral state machine library for real-time ROS applications written in C++.",,{},,,,,,,,,,,13.0,0,False,,"['ros', 'cpp']",
121,robot-runner,S2-group/robot-runner,ros,Robot Runner (RR) is a tool to automatically execute measurement-based experiments on robotics software.,,{},,,,,,,,,,,5.0,0,False,,['mit'],
122,allan-variance-ros,ori-drs/allan_variance_ros,ros,ROS package which loads a rosbag of IMU data and computes Allan Variance parameters.,,{},,,,,,,,,,,8.0,0,False,,['ros'],
123,voxgraph,ethz-asl/voxgraph,ros,Globally consistent volumetric mapping framework representing the world as a collection of Signed Distance Function..,,{},,,,,,,,,,,7.0,0,False,,"['ros', 'cpp']",
124,wavemap,ethz-asl/wavemap,ros,"Fast, efficient and accurate multi-resolution, multi-sensor 3D occupancy mapping.",,{},,,,,,,,,,,8.0,0,False,,"['ros', 'cpp']",
125,jupyterlab-urdf,ihuicatl/jupyterlab-urdf,ros,An extension to display URDF in JupyterLab.,,{},,,,,,,,,,,9.0,0,False,,"['ros', 'python']",
126,quad-sdk,robomechanics/quad-sdk,ros,ROS-based framework for agile quadrupedal locomotion.,,{},,,,,,,,,,,12.0,0,False,,"['ros', 'mit']",
127,race-stack,ForzaETH/race_stack,ros,Full stack for F1TENTH autonomous scaled cars based on ROS 1.,,{},,,,,,,,,,,13.0,0,False,,"['ros', 'mit']",
128,rosflight,,ros,"ROSflight is an autopilot system designed from the ground up with researchers in mind, and for easy integration with..",,,,,,,,,,,,,,0,False,,,
129,rpg-quadrotor-control,uzh-rpg/rpg_quadrotor_control,ros,A complete framework for flying quadrotors based on control algorithms developed by the Robotics and Perception Group..,,{},,,,,,,,,,,12.0,0,False,,['ros'],
130,transitive,transitiverobotics/transitive,ros,"A full-stack framework for robotic capabilities that connect robot, cloud, and web.",,{},,,,,,,,,,,3.0,0,False,,"['ros', 'apache']",
131,autoware,,ros,The Autoware Foundation is a non-profit organization supporting open-source projects enabling self-driving mobility.,,,,,,,,,,,,,,0,False,,,
132,ros-industrial,,ros,ROS-Industrial is an open-source project that extends the advanced capabilities of ROS software to industrial relevant..,,,,,,,,,,,,,,0,False,,,
133,vesc,,motor-control,An open source ESC project commonly used in electronics skateboard community and robotics projects like MIT RACECAR..,,,,,,,,,,,,,,0,False,,,
134,odrive,,motor-control,A hobby motor for robotics. Can control two motors at the same time.,,,,,,,,,,,,,,0,False,,,
135,stmbl,rene-dev/stmbl,motor-control,AC Servo Driver for STM32F4.,,{},,,,,,,,,,,16.0,0,False,,['gpl'],
136,simplefoc,,motor-control,Arduino Compatible Open Source Field Oriented Control (FOC) project.,,,,,,,,,,,,,,0,False,,,
137,slam-for-dummies,,education,Introductory document to SLAM and Extended Kalman Filter with example C++ implementation source code.,,,,,,,,,,,,,,0,False,,,
138,practical-deep-learning,,education,Free course on neural networks from fast.ai with 14 lessons.,,,,,,,,,,,,,,0,False,,,
139,calibration-desk-reference,,education,An 80 page long document on sensor calibration from Tangram Vision.,,,,,,,,,,,,,,0,False,,,
140,elements-of-robotics,,education,"Open access book on robotics, directed towards beginners with many algorithmic activities and exercises.",,,,,,,,,,,,,,0,False,,,
141,foundations-of-robotics,,education,"An Open-access book on robotics, rather for beginners.",,,,,,,,,,,,,,0,False,,,
142,flying-planes-with-javascript,,education,Tutorials on integrating with Microsoft Flight Simulator 2020 API that ends with developing some autopilot-like..,,,,,,,,,,,,,,0,False,,,
143,ai-gaming-rules,,other,Examples of AI Gaming the Rules - spreadsheet containing lots of information about algorithms pausing simulation to..,,,,,,,,,,,,,,0,False,,,
144,osrtos,,other,A list of open source Real Time Operating Systems (RTOS).,,,,,,,,,,,,,,0,False,,,
145,haptipedia,,other,"An online, open-source, visualization of a growing database of 105+ haptic devices invented since 1992.",,,,,,,,,,,,,,0,False,,,
146,board-db,,other,A searchable database of single board computers.,,,,,,,,,,,,,,0,False,,,
147,fast-introduction-to-robotics,,other,A hand-picked selection of Robotics resources covering robotics from various angles.,,,,,,,,,,,,,,0,False,,,
148,continuum-robot-examples,JohnDTill/ContinuumRobotExamples,other,Continuum robots have elastic links which are capable of large-scale continuous deformations. This repo has example..,,{},,,,,,,,,,,3.0,0,False,,['mit'],
149,ai-incident-database,,other,A well documented database of AI incidents.,,,,,,,,,,,,,,0,False,,,
150,control-challenges,,other,A set of control challenges that you can solve in the browser using Javascript.,,,,,,,,,,,,,,0,False,,,
151,robotics-conferences,,other,Lists of robotics-related conferences and summer/winter schools.,,,,,,,,,,,,,,0,False,,,
